from,to,date
810,SGabriel,09.01.2020
810,DTekkal,09.01.2020
810,UBecker,09.01.2020
810,DGerlach,09.01.2020
810,EThevessen,09.01.2020
811,HMaas,16.01.2020
811,SOsterer,16.01.2020
811,FGaub,16.01.2020
811,AShalicar,16.01.2020
811,CStelzenmueller,16.01.2020
812,PAltmaier,23.01.2020
812,CReemtsma,23.01.2020
812,KAndreae,23.01.2020
812,AKirchhoff,23.01.2020
812,FSchaetzing,23.01.2020
813,JSpahn,30.01.2020
813,MBrinkmann,30.01.2020
813,JWimmer,30.01.2020
813,FLee,30.01.2020
813,VHaller,30.01.2020
813,URoeller,30.01.2020
814,MKretschmer,06.02.2020
814,RHabeck,06.02.2020
814,JWissler,06.02.2020
814,LTeuteberg,06.02.2020
814,AGauland,06.02.2020
814,DRosenfeld,06.02.2020
815,THans,13.02.2020
815,TKuban,13.02.2020
815,NWalter-Borjans,13.02.2020
815,KKipping,13.02.2020
815,RAlexander,13.02.2020
815,SKropp,13.02.2020
816,CReimann,27.02.2020
816,KReinhardt ,27.02.2020
816,CDrosten,27.02.2020
816,JWimmer,27.02.2020
816,ASchadwinkel,27.02.2020
816,ARuedinger ,27.02.2020
816,JSpahn,27.02.2020
817,PZiemiak,05.03.2020
817,ABaerbock,05.03.2020
817,GKnaus,05.03.2020
817,LKaddor,05.03.2020
817,KHelberg,05.03.2020
817,MvonManteuffel,05.03.2020
818,OScholz,12.03.2020
818,HMueller,12.03.2020
818,CDrosten,12.03.2020
818,SFlasspoehler,12.03.2020
818,VHaller,12.03.2020
819,HHeil,19.03.2020
819,SJohna,19.03.2020
819,KShi-Kupfer,19.03.2020
819,CDrosten,19.03.2020
820,KLauterbach,26.03.2020
820,AUllmann,26.03.2020
820,YFalckner,26.03.2020
820,ATheiler,26.03.2020
820,SCiesek,26.03.2020
820,AGrafLambsdorff,26.03.2020
821,MBrinkmann,02.04.2020
821,HBraun,02.04.2020
821,CWoopen,02.04.2020
821,MZiemons,02.04.2020
821,DBrockmann,02.04.2020
822,CDrosten,16.04.2020
822,MSoeder,16.04.2020
822,CLindner,16.04.2020
822,RYogeshwar,16.04.2020
822,CHoffmann,16.04.2020
823,MDreyer,23.04.2020
823,COezdemir,23.04.2020
823,HDiess,23.04.2020
823,HStreeck,23.04.2020
823,MNguyen-Kim,23.04.2020
824,CLindner,30.04.2020
824,FGiffey,30.04.2020
824,JSchmidt-Chanasit,30.04.2020
824,KSaalfrank,30.04.2020
824,UDiFabio,30.04.2020
824,RGiese,30.04.2020
