id,name,sex,background,party,topic,type,label
SGabriel,Sigmar Gabriel,1,1,2,0,1,1
DTekkal,Duezen Tekkal,2,3,0,0,1,2
UBecker,Ulrike Becker,2,4,0,0,1,3
DGerlach,Daniel Gerlach,1,8,0,0,1,4
EThevessen,Elmar Thevessen,1,3,0,0,1,5
810,Politik - USA gegen Iran,0,0,0,1,0,6
HMaas,Heiko Maas,1,1,2,0,1,7
SOsterer,Shahrzad Osterer ,2,3,0,0,1,8
FGaub,Florence Gaub,2,4,0,0,1,9
AShalicar,Arye Sharuz Shalicar,1,8,0,0,1,10
CStelzenmueller,Constanze Stelzenmueller,2,4,0,0,1,11
811,Politik - Iran und die Bombe,0,0,0,1,0,12
PAltmaier,Peter Altmaier,1,1,1,0,1,13
CReemtsma,Carla Reemtsma,2,5,0,0,1,14
KAndreae,Kerstin Andreae,2,2,0,0,1,15
AKirchhoff,Arndt Guenter Kirchhoff,1,2,0,0,1,16
FSchaetzing,Frank Schaetzing,1,7,0,0,1,17
812,Wirtschaft - Klima,0,0,0,2,0,18
JSpahn,Jens Spahn,1,1,1,0,1,19
MBrinkmann,Melanie Brinkmann,2,4,0,0,1,20
JWimmer,Johannes Wimmer,1,4,0,0,1,21
FLee,Felix Lee,1,3,0,0,1,22
VHaller,Valerie Haller,2,3,0,0,1,23
URoeller,Ulf Roeller,1,3,0,0,1,24
813,Corona - Einschaetzung und Gefaehrlichkeit,0,0,0,3,0,25
MKretschmer,Michael Kretschmer,1,1,1,0,1,26
RHabeck,Robert Habeck,1,1,3,0,1,27
JWissler,Janine Wissler,2,1,4,0,1,28
LTeuteberg,Linda Teuteberg,2,1,5,0,1,29
AGauland,Alexander Gauland,1,1,6,0,1,30
DRosenfeld,Dagmar Rosenfeld,2,3,0,0,1,31
814,Politik - Thueringen Landtagswahl,0,0,0,1,0,32
THans,Tobias Hans,1,1,1,0,1,33
TKuban,Tilman Kuban,1,1,1,0,1,34
NWalter-Borjans,Norbert Walter-Borjans,1,1,2,0,1,35
KKipping,Katja Kipping,2,1,4,0,1,36
RAlexander,Robin Alexander,1,3,0,0,1,37
SKropp,Sabine Kropp,2,4,0,0,1,38
815,Politik - Machtkampf CDU,0,0,0,1,0,39
CReimann,Carola Reimann,2,1,2,0,1,40
KReinhardt ,Klaus Reinhardt ,1,4,0,0,1,41
CDrosten,Christian Drosten,1,4,0,0,1,42
ASchadwinkel,Alina Schadwinkel,2,3,0,0,1,43
ARuedinger ,Anke Ruedinger ,2,2,0,0,1,44
816,Corona - Vorbereitet?,0,0,0,3,0,45
PZiemiak,Paul Ziemiak,1,1,1,0,1,46
ABaerbock,Annalena Baerbock,2,1,3,0,1,47
GKnaus,Gerald Knaus,1,4,0,0,1,48
LKaddor,Lamya Kaddor,2,4,0,0,1,49
KHelberg,Kristin Helberg,2,4,0,0,1,50
MvonManteuffel,Marie von Manteuffel,2,5,0,0,1,51
817,Politik - Fluechtlinge,0,0,0,1,0,52
OScholz,Olaf Scholz,1,1,2,0,1,53
HMueller,Hildegard Mueller,2,2,0,0,1,54
SFlasspoehler,Svenja Flasspoehler,2,7,0,0,1,55
818,Corona - Schliessungen und Regeln,0,0,0,3,0,56
HHeil,Hubertus Heil,1,1,2,0,1,57
SJohna,Susanne Johna,2,4,0,0,1,58
KShi-Kupfer,Kristin Shi-Kupfer,2,4,0,0,1,59
819,Corona - Kosten,0,0,0,3,0,60
KLauterbach,Karl Lauterbach,1,1,2,0,1,61
AUllmann,Andrew Ullmann,1,1,5,0,1,62
YFalckner,Yvonne Falckner,2,7,0,0,1,63
ATheiler,Achim Theiler,1,2,0,0,1,64
SCiesek,Sandra Ciesek,2,4,0,0,1,65
AGrafLambsdorff,Alexander Graf Lambsdorff,1,1,5,0,1,66
820,Corona - Unsichere Zeiten,0,0,0,3,0,67
HBraun,Helge Braun,1,1,1,0,1,68
CWoopen,Christiane Woopen,2,4,0,0,1,69
MZiemons,Michael Ziemons,1,7,0,0,1,70
DBrockmann,Dirk Brockmann,1,4,0,0,1,71
821,Corona - Unsicherheiten,0,0,0,3,0,72
MSoeder,Markus Soeder,1,1,1,0,1,73
CLindner,Christian Lindner,1,1,5,0,1,74
RYogeshwar,Ranga Yogeshwar,1,4,0,0,1,75
CHoffmann,Christiane Hoffmann,2,3,0,0,1,76
822,Corona - Moegliche Lockerungen,0,0,0,3,0,77
MDreyer,Malu Dreyer,2,1,2,0,1,78
COezdemir,Cem Oezdemir,1,1,3,0,1,79
HDiess,Herbert Diess,1,2,0,0,1,80
HStreeck,Hendrik Streeck,1,4,0,0,1,81
MNguyen-Kim,Mai Thi Nguyen-Kim,2,4,0,0,1,82
823,Corona - Lockerungen,0,0,0,3,0,83
FGiffey,Franziska Giffey,2,1,2,0,1,84
JSchmidt-Chanasit,Jonas Schmidt-Chanasit,1,4,0,0,1,85
KSaalfrank,Katia Saalfrank,2,7,0,0,1,86
UDiFabio,Udo Di Fabio,1,7,0,0,1,87
RGiese,Robert Giese,1,7,0,0,1,88
824,Corona - Lockern und Oeffnen,0,0,0,3,0,89
SWeil,Stephan Weil,1,1,2,0,1,90
ABuyx,Alena Buyx ,2,4,0,0,1,91
RvonBredow,Rafaela von Bredow,2,3,0,0,1,92
825,Corona - Riskanter Neustart,0,0,0,3,0,93
BPalmer,Boris Palmer,1,1,3,0,1,94
MMeyer-Hermann,Michael Meyer-Hermann,1,4,0,0,1,95
NBlome,Nikolaus Blome,1,3,0,0,1,96
826,Corona - Pandemie und Protest,0,0,0,3,0,97
ALaschet,Armin Laschet,1,1,1,0,1,98
RMessner,Reinhold Messner,1,7,0,0,1,99
MLinnhoff,Marija Linnhoff,2,2,0,0,1,100
827,Corona - Reise ins Ungewisse,0,0,0,3,0,101
MConte,Manuela Conte,2,2,0,0,1,102
SRoeser,Sarna Roeser,2,2,0,0,1,103
LFeld,Lars Feld,1,4,0,0,1,104
828,Wirtschaft - Corona-Abschwung,0,0,0,2,0,105
KNocun,Katharina Nocun,2,5,0,0,1,106
MPech,Miriam Pech,2,7,0,0,1,107
SPufpaff,Sebastian Pufpaff,1,8,0,0,1,108
829,Corona - Leichtsinn,0,0,0,3,0,109
HReul,Herbert Reul,1,1,1,0,1,110
SHoward,Sonja Howard,2,5,0,0,1,111
JvonWeiler,Julia von Weiler,2,5,0,0,1,112
SFiedler,Sebastian Fiedler,1,7,0,0,1,113
PBriken,Peer Briken,1,4,0,0,1,114
830,Soziales - Missbrauchsskandal,0,0,0,4,0,115
WBosbach,Wolfgang Bosbach,1,1,1,0,1,116
IBaydar,Idil Baydar,2,8,0,0,1,117
831,Politik - Polizei,0,0,0,1,0,118
MSchwesig,Manuela Schwesig,2,1,2,0,1,119
UTeichert,Ute Teichert,2,4,0,0,1,120
JMarinic,Jagoda Marinic,2,3,0,0,1,121
832,Corona - Ungleichheiten,0,0,0,3,0,122
SWagenknecht,Sahra Wagenknecht,2,1,4,0,1,123
SDavid-Wilp,Sudha David-Wilp,2,4,0,0,1,124
SNavidi,Sandra Navidi,2,4,0,0,1,125
MSchnitzer,Monika Schnitzer,2,4,0,0,1,126
833,Corona - Trump und die Weltwirtschaft,0,0,0,3,0,127
KLaumann,Karl-Josef Laumann,1,1,1,1,1,128
HElbracht,Heidrun Elbracht,2,7,0,0,1,129
834,"Corona - Virus, Wissenschaft, Politik",0,0,0,3,0,130
NGruenewald,Nicole Gruenewald,2,2,0,0,1,131
MMueller,Michael Mueller,1,1,2,0,1,132
835,Corona - Regeln und Massnahmen,0,0,0,3,0,133
GGysi,Gregor Gysi,1,1,4,0,1,134
MWeisband,Marina Weisband,2,1,3,0,1,135
SNemzowa,Schanna Borissowna Nemzowa,2,3,0,0,1,136
ARahr,Alexander Rahr,1,4,0,0,1,137
