id,name,sex,background,party,topic,type,label
SGabriel,Sigmar Gabriel,1,1,2,0,1,SGab
DTekkal,Duezen Tekkal,2,3,0,0,1,DTek
UBecker,Ulrike Becker,2,4,0,0,1,UBec
DGerlach,Daniel Gerlach,1,8,0,0,1,DGer
EThevessen,Elmar Thevessen,1,3,0,0,1,EThe
810,Politik - USA gegen Iran,0,0,0,1,0,810 - POL
HMaas,Heiko Maas,1,1,2,0,1,HMaa
SOsterer,Shahrzad Osterer ,2,3,0,0,1,SOst
FGaub,Florence Gaub,2,4,0,0,1,FGau
AShalicar,Arye Sharuz Shalicar,1,8,0,0,1,ASha
CStelzenmueller,Constanze Stelzenmueller,2,4,0,0,1,CSte
811,Politik - Iran und die Bombe,0,0,0,1,0,811 - POL
PAltmaier,Peter Altmaier,1,1,1,0,1,PAlt
CReemtsma,Carla Reemtsma,2,5,0,0,1,CRee
KAndreae,Kerstin Andreae,2,2,0,0,1,KAnd
AKirchhoff,Arndt Guenter Kirchhoff,1,2,0,0,1,AKir
FSchaetzing,Frank Schaetzing,1,7,0,0,1,FSch
812,Wirtschaft - Klima,0,0,0,2,0,812 - WIR
JSpahn,Jens Spahn,1,1,1,0,1,JSpa
MBrinkmann,Melanie Brinkmann,2,4,0,0,1,MBri
JWimmer,Johannes Wimmer,1,4,0,0,1,JWim
FLee,Felix Lee,1,3,0,0,1,FLee
VHaller,Valerie Haller,2,3,0,0,1,VHal
URoeller,Ulf Roeller,1,3,0,0,1,URoe
813,Corona - Einschaetzung und Gefaehrlichkeit,0,0,0,3,0,813 - COR
MKretschmer,Michael Kretschmer,1,1,1,0,1,MKre
RHabeck,Robert Habeck,1,1,3,0,1,RHab
JWissler,Janine Wissler,2,1,4,0,1,JWiss
LTeuteberg,Linda Teuteberg,2,1,5,0,1,LTeu
AGauland,Alexander Gauland,1,1,6,0,1,AGau
DRosenfeld,Dagmar Rosenfeld,2,3,0,0,1,DRos
814,Politik - Thueringen Landtagswahl,0,0,0,1,0,814 - POL
THans,Tobias Hans,1,1,1,0,1,THan
TKuban,Tilman Kuban,1,1,1,0,1,TKub
NWalter-Borjans,Norbert Walter-Borjans,1,1,2,0,1,NWal
