id,name,sex,background,party,topic,type
SGabriel,Sigmar Gabriel,1,1,2,0,1
DTekkal,Duezen Tekkal,2,3,0,0,1
UBecker,Ulrike Becker,2,4,0,0,1
DGerlach,Daniel Gerlach,1,8,0,0,1
EThevessen,Elmar Thevessen,1,3,0,0,1
810,Politik - USA gegen Iran,0,0,0,1,0
HMaas,Heiko Maas,1,1,2,0,1
SOsterer,Shahrzad Osterer ,2,3,0,0,1
FGaub,Florence Gaub,2,4,0,0,1
AShalicar,Arye Sharuz Shalicar,1,8,0,0,1
CStelzenmueller,Constanze Stelzenmueller,2,4,0,0,1
811,Politik - Iran und die Bombe,0,0,0,1,0
PAltmaier,Peter Altmaier,1,1,1,0,1
CReemtsma,Carla Reemtsma,2,5,0,0,1
KAndreae,Kerstin Andreae,2,2,0,0,1
AKirchhoff,Arndt Guenter Kirchhoff,1,2,0,0,1
FSchaetzing,Frank Schaetzing,1,7,0,0,1
812,Wirtschaft - Klima,0,0,0,2,0
JSpahn,Jens Spahn,1,1,1,0,1
MBrinkmann,Melanie Brinkmann,2,4,0,0,1
JWimmer,Johannes Wimmer,1,4,0,0,1
FLee,Felix Lee,1,3,0,0,1
VHaller,Valerie Haller,2,3,0,0,1
URoeller,Ulf Roeller,1,3,0,0,1
813,Corona - Einschätzung und Gefährlichkeit,0,0,0,3,0
MKretschmer,Michael Kretschmer,1,1,1,0,1
RHabeck,Robert Habeck,1,1,3,0,1
JWissler,Janine Wissler,2,1,4,0,1
LTeuteberg,Linda Teuteberg,2,1,5,0,1
AGauland,Alexander Gauland,1,1,6,0,1
DRosenfeld,Dagmar Rosenfeld,2,3,0,0,1
814,Politik - Thueringen Landtagswahl,0,0,0,1,0
THans,Tobias Hans,1,1,1,0,1
TKuban,Tilman Kuban,1,1,1,0,1
NWalter-Borjans,Norbert Walter-Borjans,1,1,2,0,1
KKipping,Katja Kipping,2,1,4,0,1
RAlexander,Robin Alexander,1,3,0,0,1
SKropp,Sabine Kropp,2,4,0,0,1
815,Politik - Machtkampf CDU,0,0,0,1,0
CReimann,Carola Reimann,2,1,2,0,1
KReinhardt ,Klaus Reinhardt ,1,4,0,0,1
CDrosten,Christian Drosten,1,4,0,0,1
ASchadwinkel,Alina Schadwinkel,2,3,0,0,1
ARuedinger ,Anke Ruedinger ,2,2,0,0,1
816,Corona - Vorbereitet?,0,0,0,3,0
PZiemiak,Paul Ziemiak,1,1,1,0,1
ABaerbock,Annalena Baerbock,2,1,3,0,1
GKnaus,Gerald Knaus,1,4,0,0,1
LKaddor,Lamya Kaddor,2,4,0,0,1
KHelberg,Kristin Helberg,2,4,0,0,1
MvonManteuffel,Marie von Manteuffel,2,5,0,0,1
817,Politik - Fluechtlinge,0,0,0,1,0
OScholz,Olaf Scholz,1,1,2,0,1
HMueller,Hildegard Mueller,2,2,0,0,1
SFlasspoehler,Svenja Flasspoehler,2,7,0,0,1
818,Corona - Schliessungen und Regeln,0,0,0,3,0
HHeil,Hubertus Heil,1,1,2,0,1
SJohna,Susanne Johna,2,4,0,0,1
KShi-Kupfer,Kristin Shi-Kupfer,2,4,0,0,1
819,Corona - Kosten,0,0,0,3,0
KLauterbach,Karl Lauterbach,1,1,2,0,1
AUllmann,Andrew Ullmann,1,1,5,0,1
YFalckner,Yvonne Falckner,2,7,0,0,1
ATheiler,Achim Theiler,1,2,0,0,1
SCiesek,Sandra Ciesek,2,4,0,0,1
AGrafLambsdorff,Alexander Graf Lambsdorff,1,1,5,0,1
820,Corona - Unsichere Zeiten,0,0,0,3,0
HBraun,Helge Braun,1,1,1,0,1
CWoopen,Christiane Woopen,2,4,0,0,1
MZiemons,Michael Ziemons,1,7,0,0,1
DBrockmann,Dirk Brockmann,1,4,0,0,1
821,Corona - Unsicherheiten,0,0,0,3,0
MSoeder,Markus Soeder,1,1,1,0,1
CLindner,Christian Lindner,1,1,5,0,1
RYogeshwar,Ranga Yogeshwar,1,4,0,0,1
CHoffmann,Christiane Hoffmann,2,3,0,0,1
822,Corona - Moegliche Lockerungen,0,0,0,3,0
MDreyer,Malu Dreyer,2,1,2,0,1
COezdemir,Cem Oezdemir,1,1,3,0,1
HDiess,Herbert Diess,1,2,0,0,1
HStreeck,Hendrik Streeck,1,4,0,0,1
MNguyen-Kim,Mai Thi Nguyen-Kim,2,4,0,0,1
823,Corona - Lockerungen,0,0,0,3,0
FGiffey,Franziska Giffey,2,1,2,0,1
JSchmidt-Chanasit,Jonas Schmidt-Chanasit,1,4,0,0,1
KSaalfrank,Katia Saalfrank,2,7,0,0,1
UDiFabio,Udo Di Fabio,1,7,0,0,1
RGiese,Robert Giese,1,7,0,0,1
824,Corona - Lockern und Oeffnen,0,0,0,3,0
